start,end,years,final,total_return,cagr,max_drawdown,volatility,downside_volatility,sharpe,sortino,calmar,switches,switches_per_year,total_cost,exposure_btc,exposure_gold,exposure_sp500,exposure_cash,label,variant,lookback,raw_mode,entries,switches_ex_initial,taxable_sells,swap_costs,taxes_paid,zainetto_remaining,zainetto_created,zainetto_used,zainetto_expired,final_net,final_asset,final_liquidation_tax,frequency,price_col,strategy_label,gross_final,gross_cagr,gross_sharpe
2018-01-02,2026-05-28,8.399726214921287,145435.2664547065,12.269405093452097,0.3604329715406207,-0.6388701866816275,0.2957043937621259,0.3018637380751364,1.2188962326699972,1.1940254031138577,0.5641724704869312,90,10.714634941329855,11331.073355567023,0.4710481825866441,0.29163144547759934,0.18596787827557057,0.05135249366018597,daily open / Confirm2+Buffer2 90d,confirm2_buffer2,90,apex,1,89,90,11331.073355567027,51566.551825231254,0.0,52004.43493406025,52004.43493406025,0.0,145435.2664547065,BTC,2985.422061764587,daily,open,Confirm2+Buffer2 90d,324507.97479493724,0.5132603279368197,1.7685093497982995
2018-01-02,2026-05-28,8.399726214921287,144788.38977244365,13.313277823416724,0.3727532255475092,-0.6134043231046167,0.30010740034100836,0.29662241789402943,1.2420660907526915,1.2566589814552658,0.6076794888906184,89,10.595583441981747,11974.41336138744,0.4524513947590871,0.25316990701606085,0.23837700760777683,0.05600169061707523,daily close / Buffer 5pp 65d,buffer_5pp,65,apex,1,88,89,11974.41336138744,51565.30920918389,0.0,70247.69002983991,70247.6900298399,0.0,144788.38977244365,BTC,898.7092488736706,daily,close,Buffer 5pp 65d,313044.4783923584,0.506794902942743,1.7249412119174101
2018-01-02,2026-05-28,8.399726214921287,133455.01089296295,12.192899312163163,0.35949678941522145,-0.6565052807655631,0.29823331862818836,0.29534843465578203,1.2054212824671382,1.217195512934416,0.5475916187543922,91,10.833686440677965,14313.828491291197,0.4418850380388842,0.24577345731191885,0.2489433643279797,0.06339814032121724,daily close / Buffer 5pp 60d,buffer_5pp,60,apex,1,90,91,14313.8284912912,50991.159241804424,7359.8446116507985,91725.30942390951,84365.46481225871,0.0,133455.01089296295,SP500,0.0,daily,close,Buffer 5pp 60d,289830.4834059934,0.4930365610964509,1.6846481959555137
2018-01-02,2026-05-28,8.399726214921287,128670.30642294919,10.73978266101269,0.3407402072467811,-0.6385214244444004,0.28638280968626645,0.2845634337229184,1.1898067751345252,1.1974138869105806,0.5336394272804095,88,10.476531942633637,11529.875617512895,0.4456889264581572,0.24936601859678784,0.24492814877430263,0.060016906170752324,daily open / Buffer 5pp 60d,buffer_5pp,60,apex,1,87,88,11529.875617512893,45746.0099061083,0.0,67370.75798173407,67370.75798173407,0.0,128670.30642294919,BTC,1636.6412478342786,daily,open,Buffer 5pp 60d,271028.44473185926,0.48116202642612516,1.7107187711670706
2018-01-02,2026-05-28,8.399726214921287,119839.9867408794,10.846965266155907,0.34219166267402223,-0.63704219973826,0.3018768586017422,0.30149221986844016,1.133547182977236,1.13499334352091,0.5371569776925574,74,8.809810951760104,8367.8357806454,0.44928148774302623,0.27366863905325445,0.2356297548605241,0.04142011834319527,daily close / Buffer 5pp 80d,buffer_5pp,80,apex,1,73,74,8367.835780645402,41532.478183238454,0.0,45521.544877355926,45521.54487735592,0.0,119839.9867408794,BTC,1028.7249477667888,daily,close,Buffer 5pp 80d,250873.15124682925,0.46759802622793045,1.5794459774757952
2018-01-02,2026-05-28,8.399726214921287,119834.66372328113,9.933625219967182,0.3294329344322353,-0.6331760029582452,0.2894390134884823,0.2906825787806346,1.1381773675280458,1.1333081459995025,0.5202865125859165,112,13.333767926988266,15557.55233712983,0.45794590025359255,0.2886728655959425,0.20308537616229924,0.05029585798816568,daily open / Buffer 2pp 85d,buffer_2pp,85,apex,1,111,112,15557.552337129835,47973.89905626275,11148.881253567655,76373.43233044581,65224.55107687815,0.0,119834.66372328113,BTC,0.0,daily,open,Buffer 2pp 85d,265564.98910444253,0.47757546588631583,1.6814018511736177
2018-01-02,2026-05-28,8.399726214921287,119762.95399996608,9.927082478368098,0.3293381992296225,-0.6598355854952108,0.28933065891100024,0.28913615250485275,1.1382761870767688,1.1390419232478892,0.4991216091845851,74,8.809810951760104,7562.135048968745,0.4473795435333897,0.28254437869822485,0.2404902789518174,0.029585798816568046,daily open / Buffer 5pp 80d,buffer_5pp,80,apex,1,73,74,7562.135048968745,41222.32858476088,0.0,53588.8069132939,53588.806913293905,0.0,119762.95399996608,BTC,1393.8713962056163,daily,open,Buffer 5pp 80d,242675.61066182939,0.4618049815717802,1.6259404804648891
2018-01-02,2026-05-28,8.399726214921287,116699.36833751503,9.647563210555465,0.3252434906489887,-0.6184605881696654,0.28240454089537215,0.27851188369407476,1.15169355853059,1.167790351833767,0.5258920242784542,93,11.071789439374184,11065.863907110206,0.4429416737109045,0.2696534234995773,0.2400676246830093,0.047337278106508875,daily open / Buffer 5pp 65d,buffer_5pp,65,apex,1,92,93,11065.863907110206,41376.97349135482,0.0,69350.66425937467,69350.66425937467,0.0,116699.36833751503,BTC,130.38189198450826,daily,open,Buffer 5pp 65d,237481.41955291413,0.4580444723039636,1.6509663459971646
2018-01-02,2026-05-28,8.399726214921287,112175.53373268488,9.234811919822533,0.31902043077221376,-0.6385992963232459,0.2886018917446146,0.2875695444037676,1.1053996522466205,1.109367931968091,0.49956276589871496,94,11.190840938722294,10282.608024237215,0.45815722738799664,0.29057480980557904,0.21301775147928995,0.0382502113271344,daily open / Buffer 3pp 85d,buffer_3pp,85,apex,1,93,94,10282.608024237215,39512.32007675641,0.0,52128.40212464704,52128.40212464704,0.0,112175.53373268488,BTC,1160.8447126710232,daily,open,Buffer 3pp 85d,235271.48976892402,0.4564225076265369,1.605765540636518
2018-01-02,2026-05-28,8.399726214921287,108135.3394255554,8.86618760864656,0.3132728713413866,-0.5681243502579021,0.2945325767852037,0.2998702672434556,1.0636272386597485,1.0446946748710162,0.5514160257330551,158,18.810136897001303,15290.820715267047,0.4811918850380389,0.2945900253592561,0.1694843617920541,0.05473372781065089,daily open / Confirm2 95d,confirm2,95,apex,1,157,158,15290.82071526705,39852.43464407276,0.0,48609.819938456254,48609.81993845627,0.0,108135.3394255554,BTC,1421.4746192970406,daily,open,Confirm2 95d,242005.6112292234,0.46132391924261795,1.5908788928317306
2018-01-02,2026-05-28,8.399726214921287,106213.72972723485,8.690861374920006,0.31047252589087626,-0.6714652465431822,0.28937447679211376,0.2937949425927883,1.0729091567875881,1.0567660666684917,0.46238063323342776,110,13.095664928292047,10583.864646227139,0.4617497886728656,0.2759932375316991,0.2047759932375317,0.057480980557903634,daily open / Confirm2+Buffer2 75d,confirm2_buffer2,75,apex,1,109,110,10583.864646227139,38731.26156606509,3437.53469918482,61509.27107259049,58071.73637340568,0.0,106213.72972723485,BTC,0.0,daily,open,Confirm2+Buffer2 75d,219620.0068079534,0.44453494169482033,1.5622417099129475
2018-01-02,2026-05-28,8.399726214921287,99585.53059411571,8.086109436264074,0.3004580084626065,-0.6484288236457617,0.2867029465655763,0.28353798158009474,1.0479767022341504,1.059674639666334,0.46336312869822005,160,19.04823989569752,17338.804253753653,0.46597633136094674,0.26437024513947593,0.20667793744716823,0.06297548605240913,daily open / Buffer 2pp 60d,buffer_2pp,60,apex,1,159,160,17338.804253753653,37568.009541143285,0.0,72478.1926235685,72478.1926235685,0.0,99585.53059411571,BTC,245.8993512487173,daily,open,Buffer 2pp 60d,209972.3145888699,0.4368299521616412,1.5493393696287536
2018-01-02,2026-05-28,8.399726214921287,97663.61939990305,7.910755694277494,0.29744438197633816,-0.717824493521177,0.2880335774010948,0.29132046500367464,1.032672595536105,1.0210212384927584,0.41436922905384677,77,9.166965449804433,5719.626798270884,0.4528740490278952,0.29987320371935755,0.21597633136094674,0.03127641589180051,daily open / Buffer 5pp 75d,buffer_5pp,75,apex,1,76,77,5719.626798270884,32810.32974530435,0.0,41134.661894389144,41134.661894389144,0.0,97663.61939990305,BTC,1177.8014926029603,daily,open,Buffer 5pp 75d,191155.30648788353,0.42085894995309014,1.4859266418248425
2018-01-02,2026-05-28,8.399726214921287,95300.60593461001,7.6951561105133965,0.2936666452281147,-0.5986826057312258,0.284093317500961,0.2817473934718194,1.033697827922761,1.0423047454296592,0.49052142557145584,84,10.0003259452412,10657.259876118307,0.44864750633981404,0.2785291631445478,0.23668639053254437,0.03613693998309383,daily open / Buffer 5pp 55d,buffer_5pp,55,apex,1,83,84,10657.259876118307,36419.876045072284,7698.704471400546,92773.6768057388,85074.97233433825,0.0,95300.60593461001,BTC,0.0,daily,open,Buffer 5pp 55d,187344.47630853628,0.4174567174246977,1.4929175224262157
2018-01-02,2026-05-28,8.399726214921287,92448.89233418612,7.434967891404133,0.2889961533020158,-0.6762994567525822,0.28971829897060103,0.29157730467059734,0.997507421273868,0.9911476259392082,0.4273198069531236,146,17.381518904823988,16409.828754576854,0.45688926458157225,0.28106508875739644,0.2032967032967033,0.05874894336432798,daily open / Buffer 1pp 85d,buffer_1pp,85,apex,1,145,146,16409.828754576858,37153.34161826312,6885.40505552433,69327.33504084562,62441.92998532129,0.0,92448.89233418612,BTC,0.0,daily,open,Buffer 1pp 85d,193682.93882950893,0.42308275849619514,1.485584287221591
2018-01-02,2026-05-28,8.399726214921287,90543.05723558478,7.261080920374749,0.28580353400365777,-0.7019813497147445,0.29233892213043744,0.29610920024427634,0.9776444816887445,0.9651963997332171,0.40713835790622677,183,21.78642438070404,16955.85732084813,0.4871090448013525,0.2770498732037194,0.1749788672865596,0.060862214708368556,daily open / Confirm2 80d,confirm2,80,apex,1,182,183,16955.85732084813,34925.74512665491,1905.129265584881,57173.511152173836,55268.381886588955,0.0,90543.05723558478,BTC,0.0,daily,open,Confirm2 80d,190691.34529856124,0.4204479461016364,1.4618503960239564
2018-01-02,2026-05-28,8.399726214921287,86008.66699274551,6.847366541113308,0.27796284170704744,-0.6474939599811902,0.2943907714579355,0.2971424138046003,0.9441968589248545,0.9354532668292675,0.42929024653005615,76,9.047913950456323,5988.473756368197,0.4513947590870668,0.2880388841927303,0.2275993237531699,0.03296703296703297,daily open / Buffer 5pp 90d,buffer_5pp,90,apex,1,75,76,5988.473756368197,28809.806209148064,0.0,41103.43985473866,41103.43985473866,0.0,86008.66699274551,BTC,723.0708709490605,daily,open,Buffer 5pp 90d,168113.71187647182,0.39929696154682937,1.3746244824605969
2018-01-02,2026-05-28,8.399726214921287,83257.61375330482,6.596362498162274,0.27302644844790547,-0.726222377153461,0.2874226120167129,0.2870466547107116,0.9499129053633042,0.9511570470070942,0.37595433167189657,178,21.191166883963493,15160.766251956085,0.4625950972104818,0.2592983939137785,0.21386306001690616,0.06424344885883347,daily open / Buffer 1pp 70d,buffer_1pp,70,apex,1,177,178,15160.766251956082,33813.87842684005,7821.120132668439,64370.02513400015,56548.905001331696,0.0,83257.61375330482,BTC,0.0,daily,open,Buffer 1pp 70d,168460.31937810912,0.3996401127365248,1.4129896934837474
2018-01-02,2026-05-28,8.399726214921287,78548.06566830279,6.76498922440792,0.27635829064882356,-0.6829904036815233,0.3011487198458245,0.3028560836265839,0.9176804430392645,0.9125069813343039,0.40462982958350424,100,11.905149934810952,6963.50139002198,0.45794590025359255,0.28233305156382077,0.21238377007607775,0.047337278106508875,daily close / Buffer 3pp 75d,buffer_3pp,75,apex,1,99,100,6963.501390021981,26531.09112860059,0.0,45598.332028721794,45598.33202872178,0.0,78548.06566830279,BTC,782.4402108220288,daily,close,Buffer 3pp 75d,149580.5782068952,0.379973208975958,1.2807710639682723
